open,high,low,close,VolumeBTC,target
0.613294643,0.616423327,0.594149712,0.588705729,2.64E-06,0
0.624388425,0.61346449,0.618102775,0.613204297,1.95E-06,0
0.591866439,0.612362249,0.577615072,0.62425464,4.73E-06,0
0.591563555,0.588045211,0.591361108,0.591651112,2.99E-06,0
0.582988118,0.591893749,0.584505338,0.591633455,5.11E-06,0
0.55070372,0.571715128,0.548186167,0.583310978,7.63E-06,0
0.52350929,0.586860397,0.53149131,0.550903453,1.14E-05,0
0.506635182,0.512248652,0.510179341,0.523261866,2.67E-06,0
0.497480986,0.498951839,0.503299817,0.506547472,1.87E-06,0
0.477031183,0.486592701,0.481826874,0.497383711,2.56E-06,0
0.47419437,0.47097438,0.477335788,0.476859207,3.10E-06,0
0.439723596,0.47483542,0.444004018,0.474449159,6.27E-06,0
0.454995282,0.44856889,0.440923574,0.439553393,4.42E-06,0
0.469425836,0.460389265,0.457620246,0.455024556,3.25E-06,0
0.465194065,0.468519706,0.468210646,0.469080968,1.63E-06,0
0.463219901,0.461382037,0.469370446,0.465416562,2.01E-06,0
0.470779392,0.465954547,0.466893352,0.463316913,2.48E-06,0
0.484624806,0.479248744,0.468536982,0.470149265,3.20E-06,0
0.483420986,0.478270654,0.475614092,0.4846143,3.56E-06,0
0.488673897,0.481589297,0.484701411,0.483196581,2.42E-06,0
0.506115486,0.501026064,0.491812108,0.488790302,2.43E-06,0
0.495054351,0.500427405,0.502031693,0.505905752,2.12E-06,0
0.499643618,0.494979005,0.497171002,0.494912236,1.87E-06,0
0.485726823,0.492862331,0.486149724,0.499494488,2.12E-06,0
0.500053201,0.490355758,0.483354918,0.485730671,3.81E-06,0
0.505597718,0.506579716,0.50905933,0.500325979,1.99E-06,0
0.498160064,0.50718259,0.504680654,0.5056915,3.09E-06,0
0.52077977,0.509482584,0.499119484,0.497681054,2.92E-06,0
0.512129243,0.5196778,0.51820172,0.521198421,1.56E-06,0
0.499342811,0.505136133,0.501995534,0.512282446,1.61E-06,0
0.4952863,0.49091531,0.49241803,0.499273855,2.70E-06,0
0.517881669,0.50675882,0.492430587,0.49560381,4.04E-06,0
0.530352306,0.521710447,0.512831933,0.517459679,4.38E-06,0
0.509492771,0.529327712,0.515716153,0.530378652,4.12E-06,0
0.512781312,0.510913519,0.510242883,0.509297298,4.36E-06,0
0.476838263,0.502420801,0.482066217,0.512448625,4.22E-06,0
0.466479505,0.472495448,0.452821131,0.476391828,4.27E-06,0
0.511841347,0.513240843,0.470798032,0.466426547,6.60E-06,0
0.497614397,0.509923073,0.486583023,0.511704082,6.12E-06,0
0.480601536,0.505721707,0.476847722,0.496910545,7.58E-06,0
0.466967444,0.481238214,0.43038779,0.480485185,1.27E-05,0
0.525879681,0.516825524,0.470308907,0.466966779,1.11E-05,0
0.524336916,0.522076504,0.502054538,0.525657967,5.12E-06,0
0.529597396,0.526655847,0.52295106,0.524430761,4.05E-06,0
0.563151652,0.552368204,0.529388056,0.529370744,5.49E-06,0
0.566878418,0.571912113,0.562767786,0.56286897,4.62E-06,0
0.593672762,0.585774293,0.5740452,0.566671959,5.19E-06,0
0.599271297,0.597912895,0.59569591,0.593638738,5.28E-06,0
0.576882649,0.593674168,0.58407567,0.598999807,8.13E-06,0
0.525360282,0.569489858,0.523944894,0.576461267,4.66E-06,0
0.551704974,0.541274127,0.521616519,0.524960458,4.83E-06,0
0.54259411,0.544691916,0.541715433,0.551643397,4.84E-06,0
0.552828806,0.555821755,0.539691154,0.54224283,7.46E-06,0
